id;start_date;end_date;language
1;2019-10-01T06:38:32;2019-09-30T23:46:49;SPANISH
2;2019-10-01T08:08:37;2019-09-30T17:14:47;FRENCH
3;2019-10-01T03:40:42;2019-09-30T19:04:42;ENGLISH
4;2019-09-30T16:52:33;2019-10-01T00:19:35;ENGLISH
5;2019-10-01T01:51:12;2019-10-01T06:35:21;SPANISH
6;2019-10-01T08:08:13;2019-10-01T09:25:09;SPANISH
7;2019-09-30T17:30:32;2019-10-01T06:11:19;ENGLISH
8;2019-09-30T15:01:51;2019-09-30T23:02:00;SPANISH
9;2019-10-01T00:49:57;2019-10-01T09:14:35;FRENCH
10;2019-10-01T04:08:07;2019-10-01T01:24:22;FRENCH
